date,Country/Region,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,share_of_last_week,percentage,population
2022-01-02,Ireland,53.1424,-7.6921,811840,5912,0,805928,11.839032321639731,11.8,49.37796
2022-01-02,Italy,41.87194,12.56738,6328076,137646,0,6190430,10.757819596351245,10.8,604.61828
2022-01-02,Kosovo,42.602636,20.902977,161560,2991,0,158569,0.1367912849715276,0.1,18.45
2022-01-02,Latvia,56.8796,24.6032,277021,4579,0,272442,2.0178975601127713,2.0,18.86202
2022-01-02,Liechtenstein,47.14,9.55,6208,69,0,6139,4.413659793814433,4.4,0.38137
2022-01-02,Lithuania,55.1694,23.8813,527906,7432,0,520474,2.2539997651096977,2.3,27.22291
2022-01-02,Luxembourg,49.8153,6.1296,103766,915,0,102851,4.6094096332131915,4.6,6.25976
2022-01-02,Malta,35.9375,14.3754,54250,479,0,53771,14.746543778801843,14.7,4.41539
2022-01-02,Moldova,47.4116,28.3699,376602,10290,0,366312,0.5512450810139086,0.6,40.33963
2022-01-02,Monaco,43.7333,7.4167,4985,39,0,4946,4.393179538615848,4.4,0.39244
2022-01-02,Montenegro,42.708678,19.37439,173161,2416,0,170745,5.652543009107132,5.7,6.28062
2022-01-02,Netherlands,52.1326,5.2913,3233140,21425,0,3211715,3.462578174777461,3.5,171.34873
2022-01-02,North Macedonia,41.6086,21.7453,225730,7975,0,217755,1.1159349665529614,1.1,20.8338
2022-01-02,Norway,60.472,8.4689,399318,1305,0,398013,6.255916337355191,6.3,54.21242
2022-01-02,Poland,51.9194,19.1451,4127428,97592,0,4029836,1.8798631980981861,1.9,378.46605
2022-01-02,Portugal,39.3999,-8.2245,1424016,18990,0,1405026,10.128467657666768,10.1,101.96707
2022-01-02,Romania,45.9432,24.9668,1811300,58796,0,1752504,0.4723127035830619,0.5,192.37682
2022-01-02,San Marino,43.9424,12.4578,8202,100,0,8102,8.241892221409412,8.2,0.33938
2022-01-02,Serbia,44.0165,21.0059,1302856,12760,0,1290096,0.9507574129450991,1.0,87.3737
